run_name,depth,architecture,replicate,checkpoint_step,layer_name,mmcs,ml2r,ml2r_shrinkage_gap,assignment_cosine_mean,per_feature_mmcs,per_feature_ml2r,high_mmcs_flag,paper_shrinkage_flag_0p95,paper_shrinkage_flag_0p90,paper_shrinkage_flag_0p80,grouped_top1_ml2r,grouped_top3_ml2r,grouped_top5_ml2r
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,30000,linear1,0.9999677538871765,0.9928674697875977,0.007132530212402344,0.9999677538871765,"[0.9999958872795105, 0.9999616146087646, 0.9999994039535522, 0.9999825954437256, 0.99989914894104]","[0.9934409260749817, 0.993994951248169, 0.9869886040687561, 0.995821475982666, 0.9940914511680603]",1.0,0.0,0.0,0.0,0.9928674697875977,1.0373094081878662,1.0360852479934692
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,30000,linear2,0.6410841345787048,0.6223700046539307,0.37762999534606934,0.6410841345787048,"[0.641429603099823, 0.6407386660575867]","[0.6200186014175415, 0.624721348285675]",0.0,0.0,0.0,0.0,0.6223700046539307,0.9733158349990845,1.0272470712661743
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,35000,linear1,0.9999681711196899,0.9905239939689636,0.009476006031036377,0.9999681711196899,"[0.9999982118606567, 0.9999578595161438, 0.9999996423721313, 0.9999822378158569, 0.999902606010437]","[0.9913994073867798, 1.0003578662872314, 0.9856634140014648, 0.9891001582145691, 0.9860991835594177]",1.0,0.0,0.0,0.0,0.9905239939689636,1.0350353717803955,1.0338108539581299
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,35000,linear2,0.6416493058204651,0.6222497820854187,0.3777502179145813,0.6416493058204651,"[0.6427276134490967, 0.6405709981918335]","[0.6240607500076294, 0.620438814163208]",0.0,0.0,0.0,0.0,0.6222497820854187,0.9721254110336304,1.0258697271347046
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,40000,linear1,0.9999693632125854,0.9908758401870728,0.009124159812927246,0.9999693632125854,"[0.9999988079071045, 0.9999628663063049, 1.0, 0.9999831914901733, 0.9999021291732788]","[0.9920032620429993, 0.9993207454681396, 0.9861204028129578, 0.9909535646438599, 0.9859810471534729]",1.0,0.0,0.0,0.0,0.9908758401870728,1.0356652736663818,1.034332513809204
exp_07_tms_5_2_2layer_tied_rep1,2,tied,1,40000,linear2,0.6416136026382446,0.6225622892379761,0.3774377107620239,0.6416136026382446,"[0.642230212688446, 0.640997052192688]","[0.6234238147735596, 0.6217007040977478]",0.0,0.0,0.0,0.0,0.6225622892379761,0.9725735187530518,1.0264091491699219
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,5000,linear1,0.9990585446357727,0.7889417409896851,0.21105825901031494,0.9982616305351257,"[0.9999995231628418, 0.9999996423721313, 0.9999995827674866, 0.9999988079071045, 0.9952955842018127]","[0.06907931715250015, 0.6843384504318237, 0.0010225947480648756, 0.9979323148727417, 2.192336320877075]",1.0,1.0,1.0,1.0,0.7889417409896851,1.1711513996124268,1.1863470077514648
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,5000,linear2,0.7034505605697632,0.7057612538337708,0.29423874616622925,0.6920076608657837,"[0.7108445167541504, 0.6960565447807312]","[0.7272419929504395, 0.684280514717102]",0.0,0.0,0.0,0.0,0.7057612538337708,1.0146278142929077,1.0617132186889648
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,10000,linear1,0.9990490078926086,0.8753617405891418,0.12463825941085815,0.9988369941711426,"[0.9999983310699463, 0.9999991655349731, 0.9999980926513672, 0.9999979734420776, 0.9952511787414551]","[0.466945618391037, 0.6670330762863159, 0.9903058409690857, 0.9971652626991272, 1.2553585767745972]",1.0,1.0,1.0,0.0,0.8753617405891418,0.9629884958267212,1.007340431213379
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,10000,linear2,0.7029102444648743,0.7068061828613281,0.2931938171386719,0.6926717758178711,"[0.7107604742050171, 0.6950600147247314]","[0.7272149324417114, 0.6863974928855896]",0.0,0.0,0.0,0.0,0.7068061828613281,1.0636929273605347,1.0641157627105713
exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,15000,linear1,0.999621570110321,0.6314795613288879,0.36852043867111206,0.9995986223220825,"[0.9999988079071045, 0.9999989867210388, 0.9999984502792358, 0.999997615814209, 0.9981138706207275]","[0.4686380922794342, 0.6577751040458679, 0.9896991848945618, 1.0025681257247925, 0.038717154413461685]",1.0,1.0,1.0,1.0,0.6314795613288879,0.8872511982917786,1.0916659832000732
