layer_name,target_fro_norm,raw_fro_norm,delta_fro_norm,raw_fro_ratio,delta_fro_ratio,raw_spectral_ratio,faithfulness_mse,target_singular_values,raw_singular_values,run_name,depth,architecture,replicate,checkpoint_step,top1_component_strength_frac,top3_component_strength_frac,raw_under_scaling_gap,delta_support_gap
linear1,2.304185390472412,2.299910306930542,0.03170705959200859,0.9981446266174316,0.013760637491941452,1.000941276550293,0.0001005337544484064,"[1.6802455186843872, 1.5767197608947754]","[1.681827187538147, 1.568771481513977]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,15000,0.4472629725933075,0.8877806067466736,0.0018553733825683594,0.013760637491941452
linear2,2.304185390472412,2.30964732170105,0.11593472212553024,1.0023704767227173,0.05031483992934227,1.0114099979400635,0.0013440860202535987,"[1.6802453994750977, 1.576719880104065]","[1.699416995048523, 1.5641143321990967]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,15000,0.3156314194202423,0.7723604440689087,-0.002370476722717285,0.05031483992934227
linear1,2.304185390472412,2.298469305038452,0.027774250134825706,0.9975192546844482,0.01205382589250803,0.9980244636535645,7.714090315857902e-05,"[1.6802455186843872, 1.5767197608947754]","[1.6769261360168457, 1.5719032287597656]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,20000,0.44615596532821655,0.8885619640350342,0.002480745315551758,0.01205382589250803
linear2,2.304185390472412,2.3059916496276855,0.10714919120073318,1.000783920288086,0.04650198295712471,1.0072622299194336,0.0011480948887765408,"[1.6802453994750977, 1.576719880104065]","[1.6924476623535156, 1.5662754774093628]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,20000,0.31411826610565186,0.7725915908813477,-0.0007839202880859375,0.04650198295712471
linear1,2.304185390472412,2.2982165813446045,0.026442626491189003,0.9974095821380615,0.011475911363959312,0.997687578201294,6.992125418037176e-05,"[1.6802455186843872, 1.5767197608947754]","[1.6763601303100586, 1.5721372365951538]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,25000,0.4457273483276367,0.8894332647323608,0.0025904178619384766,0.011475911363959312
linear2,2.304185390472412,2.307654619216919,0.1158241331577301,1.0015056133270264,0.050266847014427185,1.0097589492797852,0.001341522904112935,"[1.6802453994750977, 1.576719880104065]","[1.6966427564620972, 1.5641844272613525]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,25000,0.3162645697593689,0.7750054001808167,-0.0015056133270263672,0.050266847014427185
linear1,2.304185390472412,2.2957558631896973,0.03648263216018677,0.9963416457176208,0.01583320088684559,0.9956393241882324,0.00013309823407325894,"[1.6802455186843872, 1.5767197608947754]","[1.6729185581207275, 1.5722084045410156]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,30000,0.44749879837036133,0.8929889798164368,0.0036583542823791504,0.01583320088684559
linear2,2.304185390472412,2.3092353343963623,0.11553152650594711,1.0021916627883911,0.05013985559344292,1.0106074810028076,0.0013347534695640206,"[1.6802453994750977, 1.576719880104065]","[1.6980684995651245, 1.5649702548980713]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,30000,0.3177933692932129,0.7770048379898071,-0.0021916627883911133,0.05013985559344292
linear1,2.304185390472412,2.298771381378174,0.029742402955889702,0.9976503849029541,0.012907990254461765,0.9970737099647522,8.846105629345402e-05,"[1.6802455186843872, 1.5767197608947754]","[1.6753286123275757, 1.5740467309951782]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,35000,0.44687989354133606,0.8918992877006531,0.0023496150970458984,0.012907990254461765
linear2,2.304185390472412,2.3096930980682373,0.11315707117319107,1.0023902654647827,0.049109362065792084,1.0105890035629272,0.0012804523576050997,"[1.6802453994750977, 1.576719880104065]","[1.6980375051498413, 1.5656787157058716]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,35000,0.31753236055374146,0.776240348815918,-0.002390265464782715,0.049109362065792084
linear1,2.304185390472412,2.2983078956604004,0.034143418073654175,0.9974492192268372,0.014817999675869942,0.9979183077812195,0.00011657729919534177,"[1.6802455186843872, 1.5767197608947754]","[1.6767477989196777, 1.5718578100204468]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,40000,0.4479127526283264,0.8925290107727051,0.002550780773162842,0.014817999675869942
linear2,2.304185390472412,2.311349630355835,0.11417422443628311,1.0031092166900635,0.049550797790288925,1.011508584022522,0.0013035752344876528,"[1.6802453994750977, 1.576719880104065]","[1.6995826959609985, 1.5664464235305786]",exp_07_tms_5_2_2layer_untied_rep1,2,untied,1,40000,0.3173750936985016,0.7763841152191162,-0.0031092166900634766,0.049550797790288925
linear1,2.201704740524292,2.2105109691619873,0.025741521269083023,1.0039997100830078,0.011691631749272346,1.00324285030365,6.626259710174054e-05,"[1.7000540494918823, 1.3990427255630493]","[1.7055671215057373, 1.4062004089355469]",exp_07_tms_5_2_3layer_tied_rep1,3,tied,1,5000,0.2114897221326828,0.6175715327262878,-0.0039997100830078125,0.011691631749272346
